delivery_year,Submarket,leaseup_time,effective_rent_delivery,effective_rent_leaseup,effective_rent_growth,negative_growth,umap_cluster,property_age,large_project_flag
2019,Pflugerville/Wells Branch,1.0,1255.0,1187.0,-68.0,True,3,0,1
2013,East Austin,7.0,1669.0,1684.0,15.0,False,2,-1,1
2009,North Central Austin,106.0,1243.0,1163.0,-80.0,True,0,0,1
2014,Near North Austin,6.0,1390.0,1172.0,-218.0,True,1,0,0
2019,Pflugerville/Wells Branch,,1248.0,,,False,3,0,1
2016,Southeast Austin,18.0,1149.0,1024.0,-125.0,True,2,-1,1
2015,Northwest Austin,17.0,1162.0,1095.0,-67.0,True,2,-1,1
2014,Arboretum,0.0,1524.0,1419.0,-105.0,True,2,-1,1
2020,Cedar Park,0.0,1510.0,1384.0,-126.0,True,0,0,1
2019,Near North Austin,0.0,2150.0,2045.0,-105.0,True,1,0,0
2019,Riverside,0.0,1611.0,1477.0,-134.0,True,2,-1,1
2016,South Austin,0.0,2197.0,2014.0,-183.0,True,3,0,1
2017,Riverside,0.0,1769.0,1622.0,-147.0,True,2,-1,1
2015,Round Rock/Georgetown,5.0,1113.0,1067.0,-46.0,True,3,0,1
2014,South Austin,0.0,1920.0,1789.0,-131.0,True,2,-2,1
2015,East Austin,6.0,1529.0,1498.0,-31.0,True,3,0,1
2018,Far South Austin,1.0,1200.0,1214.0,14.0,False,1,0,0
2018,East Austin,0.0,2067.0,1816.0,-251.0,True,3,0,1
2013,South Austin,0.0,1574.0,1443.0,-131.0,True,2,-1,1
2020,East Austin,0.0,1778.0,1556.0,-222.0,True,0,0,1
2017,Far South Austin,0.0,1344.0,1232.0,-112.0,True,2,-1,1
2018,Near North Austin,0.0,1679.0,1470.0,-209.0,True,3,0,1
2019,North Central Austin,,2006.0,,,False,2,-1,1
2017,San Marcos,,1257.0,,,False,1,-1,0
2015,Far South Austin,1.0,1300.0,1150.0,-150.0,True,2,-1,1
2016,East Austin,0.0,1669.0,1533.0,-136.0,True,2,-1,1
2015,Round Rock/Georgetown,5.0,1080.0,1005.0,-75.0,True,3,0,1
2020,Cedar Park,0.0,1432.0,1333.0,-99.0,True,0,0,1
2013,Far South Austin,48.0,1063.0,1079.0,16.0,False,3,0,1
2014,East Austin,1.0,1495.0,1405.0,-90.0,True,2,-1,1
2014,Downtown/University,9.0,1717.0,1478.0,-239.0,True,3,0,1
2015,Southwest Austin,20.0,1210.0,1172.0,-38.0,True,3,0,1
2020,Far South Austin,0.0,1504.0,1331.0,-173.0,True,3,0,1
2010,Near North Austin,0.0,1428.0,1330.0,-98.0,True,1,0,0
2019,Southeast Austin,,1161.0,,,False,1,0,0
2009,Pflugerville/Wells Branch,5.0,997.0,882.0,-115.0,True,0,0,1
2014,San Marcos,0.0,1007.0,839.0,-168.0,True,1,0,0
2020,Cedar Park,,1355.0,,,False,0,0,1
2018,Far South Austin,,1158.0,,,False,3,0,1
2016,San Marcos,9.0,1235.0,1115.0,-120.0,True,3,0,1
2018,Pflugerville/Wells Branch,0.0,1241.0,1086.0,-155.0,True,0,0,1
2014,Near North Austin,,1548.0,,,False,2,-1,1
2016,San Marcos,10.0,1048.0,1150.0,102.0,False,1,0,0
2017,North Central Austin,,888.0,,,False,3,0,1
2020,East Austin,2.0,1208.0,1062.0,-146.0,True,3,0,1
2010,Round Rock/Georgetown,0.0,930.0,786.0,-144.0,True,3,1,1
2011,San Marcos,19.0,975.0,898.0,-77.0,True,1,0,0
2016,San Marcos,30.0,1128.0,1063.0,-65.0,True,2,-1,1
2008,Round Rock/Georgetown,2.0,1035.0,788.0,-247.0,True,2,-1,1
2014,North Central Austin,75.0,1433.0,1708.0,275.0,False,3,0,1
2013,San Marcos,50.0,954.0,996.0,42.0,False,3,0,1
2016,Southwest Austin,0.0,1381.0,1266.0,-115.0,True,2,-1,1
2012,South Austin,7.0,1638.0,1529.0,-109.0,True,2,-1,1
2017,San Marcos,3.0,1222.0,1119.0,-103.0,True,0,0,1
2013,South Austin,4.0,1612.0,1447.0,-165.0,True,2,-1,1
2017,Southeast Austin,0.0,1312.0,1203.0,-109.0,True,0,0,1
2017,Pflugerville/Wells Branch,10.0,1168.0,1104.0,-64.0,True,3,0,1
2013,Far South Austin,26.0,1169.0,1181.0,12.0,False,2,-1,1
2016,Cedar Park,10.0,1086.0,1065.0,-21.0,True,3,0,1
2018,Southwest Austin,0.0,1315.0,1221.0,-94.0,True,2,-1,1
2016,Far South Austin,1.0,1288.0,1181.0,-107.0,True,3,0,1
2013,Cedar Park,40.0,1065.0,1088.0,23.0,False,2,-1,1
2017,Cedar Park,0.0,1302.0,1085.0,-217.0,True,0,0,1
2020,North Central Austin,0.0,1366.0,1261.0,-105.0,True,3,0,1
2008,Downtown/University,0.0,1684.0,1473.0,-211.0,True,1,-1,0
2014,South Austin,0.0,1693.0,1573.0,-120.0,True,2,-2,1
2009,Northwest Austin,0.0,1063.0,862.0,-201.0,True,3,0,1
2010,North Central Austin,87.0,798.0,1007.0,209.0,False,0,0,1
2018,Cedar Park,3.0,1199.0,1163.0,-36.0,True,3,0,1
2016,South Austin,0.0,1555.0,1442.0,-113.0,True,1,-1,0
2016,Cedar Park,14.0,1344.0,1273.0,-71.0,True,2,-1,1
2016,Round Rock/Georgetown,4.0,1109.0,1019.0,-90.0,True,2,-1,1
